time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-03-08T03:32:31.000Z,63.5885,-150.7883,7.4,2.5,ml,,,,0.96,ak,ak12958409,2016-03-08T04:30:17.576Z,"94km WSW of Healy, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-03-08T00:33:05.340Z,-6.4232,130.8319,150.49,4.3,mb,,104,1.617,1.46,us,us10004vxi,2016-03-08T01:28:39.474Z,"177km NNW of Saumlaki, Indonesia",earthquake,9.7,6.6,0.188,8,reviewed,us,us
2016-03-07T22:43:24.940Z,17.6795,40.2546,10,4.8,mb,,72,6.607,1.06,us,us10004vx9,2016-03-07T23:01:05.011Z,"182km SSW of Al Qunfidhah, Saudi Arabia",earthquake,11.1,1.9,0.07,63,reviewed,us,us
2016-03-07T22:29:42.930Z,19.5036667,-155.1968333,13.81,3.45,ml,62,55,0.08577,0.1,hv,hv61197586,2016-03-08T03:46:41.642Z,"9km NNE of Volcano, Hawaii",earthquake,0.27,0.28,0.164,37,reviewed,hv,hv
2016-03-07T20:26:10.000Z,60.2112,-141.0764,1.1,2.5,ml,,,,0.87,ak,ak12956527,2016-03-08T04:28:40.033Z,"76km ENE of Cape Yakataga, Alaska",earthquake,0.4,0.2,,,automatic,ak,ak
2016-03-07T19:10:40.600Z,19.065,-68.0071,67,2.8,Md,4,266.4,0.6521769,0.18,pr,pr16067001,2016-03-08T03:13:07.049Z,"67km NE of Punta Cana, Dominican Republic",earthquake,3.1,5.9,0,3,reviewed,pr,pr
2016-03-07T18:31:30.340Z,11.5517,-87.3729,36.35,4.6,mb,,194,1.15,0.92,us,us10004vv5,2016-03-08T02:34:03.650Z,"97km WSW of Masachapa, Nicaragua",earthquake,7.5,11.8,0.062,77,reviewed,us,us
2016-03-07T17:38:07.400Z,38.8418333,-122.8385,1.92,2.59,md,62,61,0.004004,0.07,nc,nc72603305,2016-03-08T04:24:05.115Z,"10km WNW of Cobb, California",earthquake,0.13,0.21,0.289,47,reviewed,nc,nc
2016-03-07T17:11:25.010Z,14.2011,146.975,10,4.6,mb,,149,1.531,0.58,us,us10004vuu,2016-03-08T01:13:56.327Z,"168km ESE of JP Tinian Town pre-WW2, Northern Mariana Islands",earthquake,4.4,1.9,0.114,23,reviewed,us,us
2016-03-07T14:46:50.810Z,36.6487,-97.7338,5,2.5,mb_lg,,57,0.219,0.23,us,us10004vuh,2016-03-07T15:34:44.370Z,"17km S of Medford, Oklahoma",earthquake,1.3,2,0.092,31,reviewed,us,us
2016-03-07T14:25:15.450Z,35.3016,23.9166,10,4.4,mb,,129,0.796,1.15,us,us10004vug,2016-03-07T22:27:43.468Z,"21km SSW of Mourniai, Greece",earthquake,6,1.9,0.1,29,reviewed,us,us
2016-03-07T13:21:49.510Z,35.6771,-97.3954,5,2.5,mb_lg,,35,0.098,0.6,us,us10004vu6,2016-03-07T22:13:21.138Z,"7km ENE of Edmond, Oklahoma",earthquake,1.2,1.9,0.132,15,reviewed,us,us
2016-03-07T12:23:01.700Z,22.7785,93.968,48.79,4.5,mb,,167,3.38,0.4,us,us10004vu1,2016-03-07T20:25:45.262Z,"32km ESE of Falam, Burma",earthquake,10.8,8.5,0.099,30,reviewed,us,us
2016-03-07T11:43:41.870Z,2.3606,128.3288,139.51,5,mb,,69,1.848,0.96,us,us10004vtx,2016-03-07T17:13:49.473Z,"78km NNE of Tobelo, Indonesia",earthquake,8.8,7.3,0.053,112,reviewed,us,us
2016-03-07T10:38:11.400Z,19.1611,-64.3175,55,2.7,Md,5,320.4,0.79141577,0.27,pr,pr16067000,2016-03-07T18:40:51.534Z,"88km NNE of Road Town, British Virgin Islands",earthquake,8.7,13.8,0,4,reviewed,pr,pr
2016-03-07T07:58:02.000Z,60.2683,-141.1459,0,3.3,ml,,,,1.7,ak,ak12954444,2016-03-07T21:23:27.148Z,"74km ENE of Cape Yakataga, Alaska",earthquake,0.3,,,,reviewed,ak,ak
2016-03-07T07:37:02.220Z,40.2154,142.3841,35,4.8,mb,,138,1.422,0.84,us,us10004vtk,2016-03-07T12:25:15.278Z,"74km NNE of Miyako, Japan",earthquake,4,1.9,0.047,138,reviewed,us,us
2016-03-07T06:01:18.800Z,-26.9699,-70.9814,46.38,4.1,mb,,179,0.678,1.19,us,us10004vt7,2016-03-07T06:23:36.716Z,"77km NW of Copiapo, Chile",earthquake,6.4,4.8,0.185,8,reviewed,us,us
